date,inflation_cpi
1982-01-01,"153,2"
1982-01-01,"106,6"
1982-02-01,"136,3"
1982-02-01,"206,4"
1982-03-01,"210,7"
1982-03-01,"105,8"
1982-04-01,"204,1"
1982-04-01,"103,1"
1982-05-01,"208,4"
1982-05-01,"102,7"
1982-06-01,"211,9"
1982-06-01,"100,9"
1982-07-01,"213,3"
1982-07-01,"103,9"
1982-08-01,"214,9"
1982-08-01,"99,4"
1982-09-01,"208,5"
1982-09-01,"100,3"
1982-10-01,"101,4"
1982-10-01,201
1982-11-01,"100,9"
1982-11-01,"197,9"
1982-12-01,175
1982-12-01,"100,8"
1983-01-01,"101,9"
1983-01-01,"167,3"
1983-02-01,"107,2"
1983-02-01,"131,5"
1983-03-01,"126,7"
1983-03-01,"101,9"
1983-04-01,"126,9"
1983-04-01,"103,2"
1983-05-01,"124,7"
1983-05-01,101
1983-06-01,123
1983-06-01,"99,5"
1983-07-01,"119,2"
1983-07-01,"100,6"
1983-08-01,"99,6"
1983-08-01,"119,3"
1983-09-01,"118,8"
1983-09-01,"99,8"
1983-10-01,"118,5"
1983-10-01,"101,1"
1983-11-01,"118,2"
1983-11-01,"100,7"
1983-12-01,"100,7"
1983-12-01,"118,2"
1984-01-01,"115,6"
1984-01-01,"100,9"
1984-02-01,"113,4"
1984-02-01,"103,9"
1984-03-01,"112,4"
1984-03-01,"101,2"
1984-04-01,"111,4"
1984-04-01,"101,9"
1984-05-01,"112,1"
1984-05-01,"101,1"
1984-06-01,"112,9"
1984-06-01,"100,7"
1984-07-01,"113,7"
1984-07-01,"100,6"
1984-08-01,"112,5"
1984-08-01,"98,3"
1984-09-01,"112,8"
1984-09-01,"99,9"
1984-10-01,"112,6"
1984-10-01,"100,9"
1984-11-01,"101,6"
1984-11-01,"113,5"
1984-12-01,"101,5"
1984-12-01,"114,2"
1985-01-01,101
1985-01-01,"113,2"
1985-02-01,"110,3"
1985-02-01,"101,1"
1985-03-01,"111,9"
1985-03-01,102
1985-04-01,"111,6"
1985-04-01,102
1985-05-01,"111,8"
1985-05-01,"101,2"
1985-06-01,113
1985-06-01,"102,1"
1985-07-01,"101,9"
1985-07-01,"115,1"
1985-08-01,"99,7"
1985-08-01,"115,4"
1985-09-01,"100,7"
1985-09-01,"115,9"
1985-10-01,"116,1"
1985-10-01,"100,9"
1985-11-01,"115,8"
1985-11-01,"101,1"
1985-12-01,"101,9"
1985-12-01,"116,7"
1986-01-01,102
1986-01-01,"117,1"
1986-02-01,"101,5"
1986-02-01,"117,8"
1986-03-01,118
1986-03-01,"102,7"
1986-04-01,"119,2"
1986-04-01,103
1986-05-01,"120,5"
1986-05-01,"101,6"
1986-06-01,"118,2"
1986-06-01,"100,9"
1986-07-01,"114,4"
1986-07-01,"98,2"
1986-08-01,"115,2"
1986-08-01,100
1986-09-01,"116,3"
1986-09-01,"101,6"
1986-10-01,"102,2"
1986-10-01,"117,9"
1986-11-01,101
1986-11-01,"117,5"
1986-12-01,"117,1"
1986-12-01,"101,3"
1987-01-01,"118,1"
1987-01-01,"103,4"
1987-01-01,"118,1"
1987-01-01,"103,4"
1987-02-01,"102,3"
1987-02-01,"118,6"
1987-02-01,"119,2"
1987-02-01,"105,8"
1987-03-01,"118,8"
1987-03-01,"107,7"
1987-03-01,"101,8"
1987-03-01,"117,9"
1987-04-01,"119,6"
1987-04-01,"115,3"
1987-04-01,"107,1"
1987-04-01,"123,1"
1987-05-01,"118,1"
1987-05-01,"102,4"
1987-05-01,"123,9"
1987-05-01,"120,5"
1987-06-01,120
1987-06-01,"101,6"
1987-06-01,"121,4"
1987-06-01,"125,8"
1987-07-01,"122,2"
1987-07-01,"101,8"
1987-07-01,129
1987-07-01,"122,5"
1987-08-01,"123,3"
1987-08-01,"100,2"
1987-08-01,"128,9"
1987-08-01,"122,4"
1987-09-01,"123,7"
1987-09-01,"101,2"
1987-09-01,"128,5"
1987-09-01,"123,9"
1987-10-01,"126,2"
1987-10-01,124
1987-10-01,"128,2"
1987-10-01,"101,9"
1987-11-01,"124,7"
1987-11-01,"102,3"
1987-11-01,"129,1"
1987-11-01,"129,4"
1987-12-01,"101,9"
1987-12-01,"131,3"
1987-12-01,"131,3"
1987-12-01,"125,2"
1988-01-01,"103,7"
1988-01-01,"128,4"
1988-01-01,"103,7"
1988-01-01,"128,4"
1988-02-01,"121,5"
1988-02-01,"147,6"
1988-02-01,"117,2"
1988-02-01,"138,2"
1988-03-01,"143,2"
1988-03-01,"105,7"
1988-03-01,"153,2"
1988-03-01,"128,4"
1988-04-01,"107,1"
1988-04-01,"137,5"
1988-04-01,146
1988-04-01,"153,6"
1988-05-01,"147,9"
1988-05-01,"102,4"
1988-05-01,"140,9"
1988-05-01,"154,7"
1988-06-01,"144,9"
1988-06-01,"102,9"
1988-06-01,"156,1"
1988-06-01,"149,4"
1988-07-01,"150,9"
1988-07-01,"149,5"
1988-07-01,"103,2"
1988-07-01,"159,4"
1988-08-01,"160,9"
1988-08-01,"152,2"
1988-08-01,"150,4"
1988-08-01,"100,6"
1988-09-01,"102,8"
1988-09-01,"153,6"
1988-09-01,"154,6"
1988-09-01,"163,8"
1988-10-01,"159,4"
1988-10-01,"165,9"
1988-10-01,"155,4"
1988-10-01,"102,6"
1988-11-01,"165,4"
1988-11-01,"168,5"
1988-11-01,"103,8"
1988-11-01,"157,6"
1988-12-01,"173,9"
1988-12-01,"104,9"
1988-12-01,"160,2"
1988-12-01,"173,9"
1989-01-01,"183,2"
1989-01-01,"183,2"
1989-01-01,111
1989-01-01,111
1989-02-01,"119,8"
1989-02-01,"170,3"
1989-02-01,"176,2"
1989-02-01,"107,9"
1989-03-01,"108,1"
1989-03-01,"174,2"
1989-03-01,"175,5"
1989-03-01,"129,4"
1989-04-01,"176,1"
1989-04-01,"142,1"
1989-04-01,"109,8"
1989-04-01,"177,8"
1989-05-01,"185,4"
1989-05-01,"152,3"
1989-05-01,"107,2"
1989-05-01,"178,2"
1989-06-01,"106,1"
1989-06-01,"180,7"
1989-06-01,"161,6"
1989-06-01,"191,3"
1989-07-01,"109,5"
1989-07-01,"184,4"
1989-07-01,"177,1"
1989-07-01,"203,9"
1989-08-01,"139,5"
1989-08-01,"282,7"
1989-08-01,"198,1"
1989-08-01,247
1989-09-01,"134,4"
1989-09-01,"369,2"
1989-09-01,"219,6"
1989-09-01,"331,6"
1989-10-01,"513,2"
1989-10-01,"154,8"
1989-10-01,"258,1"
1989-10-01,"557,1"
1989-11-01,"628,2"
1989-11-01,"300,3"
1989-11-01,"122,4"
1989-11-01,657
1989-12-01,"351,1"
1989-12-01,"117,7"
1989-12-01,"739,6"
1989-12-01,"739,6"
1990-01-01,"179,6"
1990-01-01,"179,6"
1990-01-01,"1107,6"
1990-01-01,"1107,6"
1990-02-01,"222,5"
1990-02-01,"1283,1"
1990-02-01,"1198,3"
1990-02-01,"123,8"
1990-03-01,"1210,7"
1990-03-01,232
1990-03-01,"1232,8"
1990-03-01,"104,3"
1990-04-01,"249,4"
1990-04-01,"1208,5"
1990-04-01,"107,5"
1990-04-01,"1202,9"
1990-05-01,"104,6"
1990-05-01,"1176,5"
1990-05-01,"1201,1"
1990-05-01,"260,9"
1990-06-01,"1191,2"
1990-06-01,"269,8"
1990-06-01,"103,4"
1990-06-01,"1151,2"
1990-07-01,1094
1990-07-01,"279,5"
1990-07-01,"103,6"
1990-07-01,1174
1990-08-01,"848,5"
1990-08-01,"1112,6"
1990-08-01,"284,6"
1990-08-01,"101,8"
1990-09-01,"1020,4"
1990-09-01,"297,7"
1990-09-01,"104,6"
1990-09-01,658
1990-10-01,"887,1"
1990-10-01,"314,6"
1990-10-01,"105,7"
1990-10-01,456
1990-11-01,"773,6"
1990-11-01,"385,9"
1990-11-01,"104,9"
1990-11-01,330
1990-12-01,"349,3"
1990-12-01,"349,3"
1990-12-01,"105,9"
1990-12-01,"685,8"
1991-01-01,"112,7"
1991-01-01,"194,9"
1991-01-01,"112,7"
1991-01-01,"194,9"
1991-02-01,"186,9"
1991-02-01,"106,7"
1991-02-01,180
1991-02-01,"120,3"
1991-03-01,"185,1"
1991-03-01,"181,8"
1991-03-01,"125,7"
1991-03-01,"104,5"
1991-04-01,"181,1"
1991-04-01,"129,1"
1991-04-01,"102,7"
1991-04-01,171
1991-05-01,"102,7"
1991-05-01,"167,8"
1991-05-01,178
1991-05-01,"132,6"
1991-06-01,139
1991-06-01,"104,9"
1991-06-01,"177,1"
1991-06-01,"172,4"
1991-07-01,"100,1"
1991-07-01,"168,3"
1991-07-01,"175,6"
1991-07-01,"139,1"
1991-08-01,"174,5"
1991-08-01,"100,6"
1991-08-01,"167,6"
1991-08-01,140
1991-09-01,"173,6"
1991-09-01,"104,3"
1991-09-01,"167,1"
1991-09-01,146
1991-10-01,"150,7"
1991-10-01,"172,5"
1991-10-01,"164,8"
1991-10-01,"103,2"
1991-11-01,"155,5"
1991-11-01,"162,7"
1991-11-01,"103,2"
1991-11-01,"171,4"
1991-12-01,"160,4"
1991-12-01,"170,3"
1991-12-01,"103,1"
1991-12-01,"160,4"
1992-01-01,"107,5"
1992-01-01,"107,5"
1992-01-01,"145,4"
1992-01-01,"145,4"
1992-02-01,"109,4"
1992-02-01,"101,8"
1992-02-01,"142,7"
1992-02-01,"140,1"
1992-03-01,102
1992-03-01,"141,1"
1992-03-01,"138,1"
1992-03-01,"111,6"
1992-04-01,"115,7"
1992-04-01,"103,7"
1992-04-01,"140,2"
1992-04-01,"140,8"
1992-05-01,"143,2"
1992-05-01,"120,4"
1992-05-01,"141,3"
1992-05-01,104
1992-06-01,139
1992-06-01,"122,4"
1992-06-01,"140,9"
1992-06-01,"101,6"
1992-07-01,"141,3"
1992-07-01,124
1992-07-01,141
1992-07-01,"101,4"
1992-08-01,"127,4"
1992-08-01,"141,4"
1992-08-01,"144,3"
1992-08-01,"102,7"
1992-09-01,"105,3"
1992-09-01,"146,5"
1992-09-01,"134,1"
1992-09-01,142
1992-10-01,103
1992-10-01,"138,1"
1992-10-01,"146,4"
1992-10-01,"142,5"
1992-11-01,"102,3"
1992-11-01,"141,2"
1992-11-01,"142,8"
1992-11-01,"145,4"
1992-12-01,143
1992-12-01,"144,3"
1992-12-01,"144,3"
1992-12-01,"102,2"
1993-01-01,"137,5"
1993-01-01,"104,1"
1993-01-01,"104,1"
1993-01-01,"137,5"
1993-02-01,"139,7"
1993-02-01,"107,6"
1993-02-01,"138,6"
1993-02-01,"103,4"
1993-03-01,"102,1"
1993-03-01,"109,9"
1993-03-01,"139,7"
1993-03-01,139
1993-04-01,"112,4"
1993-04-01,"138,1"
1993-04-01,"102,3"
1993-04-01,"138,7"
1993-05-01,"135,8"
1993-05-01,"114,5"
