,,,,
,,,,
,,,,
Rok,miesiąc,"Przeci?tne miesi?czne wynagrodzenia bruttoab
Average monthly gross wages and salariesab",,
2010,1,"3360,44",1,2010
,2,"3375,96",2,
,3,"3400,32",3,
,4,"3387,11",4,
,5,"3429,59",5,
,6,"3411,64",6,
,7,"3421,43",7,
,8,"3447,19",8,
,9,"3461,3",9,
,10,"3476,28",10,
,11,"3488,28",11,
,12,"3508,1",12,
2011,1,"3518,65",1,2011
,2,"3524,36",2,
,3,"3545,94",3,
,4,"3581,23",4,
,5,"3568,72",5,
,6,"3590,44",6,
,7,"3620,81",7,
,8,"3629,64",8,
,9,"3641,10",9,
,10,"3653,79",10,
,11,"3654,78",11,
,12,"3670,92",12,
2012,1,"3782,37",1,2012
,2,"3668,53",2,
,3,"3696,68",3,
,4,"3698,98",4,
,5,"3710,41",5,
,6,"3743,59",6,
,7,"3712,59",7,
,8,"3732,91",8,
,9,"3735,9",9,
,10,"3739,75",10,
,11,"3747,99",11,
,12,"3778,64",12,
2013,1,"3774,56",1,2013
,2,"3789,31",2,
,3,"3770,21",3,
,4,"3795,99",4,
,5,"3801,51",5,
,6,"3814,6",6,
,7,"3833,56",7,
,8,"3835,27",8,
,9,"3857,68",9,
,10,"3863,39",10,
,11,"3890,27",11,
,12,"3884,58",12,
2014,1,"3899,78",1,2014
,2,"3924,95",2,
,3,"3927,50",3,
,4,"3934,97",4,
,5,"3957,20",5,
,6,"3968,92",6,
,7,"3971,19",7,
,8,"3987,80",8,
,9,"3985,84",9,
,10,"4007,28",10,
,11,"4011,49",11,
,12,"4037,8",12,
2015,1,"4039,76",1,2015
,2,"4050,93",2,
,3,"4082,17",3,
,4,"4072,33",4,
,5,"4086,82",5,
,6,"4072,80",6,
,7,"4094,64",7,
,8,"4117,12",8,
,9,"4144,31",9,
,10,"4152,72",10,
,11,"4164,45",11,
,12,"4179,34",12,
2016,1,"4208,66",1,2016
,2,"4210,4",2,
,3,"4214,57",3,
,4,"4244,2",4,
,5,"4249,93",5,
,6,"4258,81",6,
,7,"4301,43",7,
,8,"4287,91",8,
,9,"4302,27",9,
,10,"4317,49",10,
,11,"4342,68",11,
,12,"4333,34",12,
2017,1,"4369,75",1,2017
,2,"4397,78",2,
,3,"4425,99",3,
,4,"4441,41",4,
,5,"4467,26",5,
,6,"4505,7",6,
,7,"4518,90",7,
,8,"4557,99",8,
,9,"4580,14",9,
,10,"4605,84",10,
,11,"4617,87",11,
,12,"4679,16",12,
2018,1,"4674,21",1,2018
,2,"4694,69",2,
,3,"4749,34",3,
,4,"4769,93",4,
,5,"4791,59",5,
,6,"4839,13",6,
,7,"4839,31",7,
,8,"4865,54",8,
,9,"4905,0",9,
,10,"4941,85",10,
,11,"4971,65",11,
,12,"4978,81",12,
2019,1,"5003,12",1,2019
,2,"5028,6",2,
,3,"5050,98",3,
,4,"5092,8",4,
,5,"5143,35",5,
,6,"5145,88",6,
,7,"5179,7",7,
,8,"5211,7",8,
,9,"5213,29",9,
,10,"5245,26",10,
,11,"5278,9",11,
,12,"5280,86",12,
2020,1,"5347,7",1,2020
,2,"5390,92",2,
,3,"5345,70",3,
,4,"5183,45",4,
,5,"5244,46",5,
,6,"5311,62",6,
,7,"5380,3",7,
,8,"5430,3",8,
,9,"5484,96",9,
,10,"5520,72",10,
,11,"5532,78",11,
,12,"5587,33",12,
2021,1,"5637,30",1,2021
,2,"5627,84",2,
,3,"5718,12",3,
,4,"5704,62",4,
,5,"5778,17",5,
